AN_LETIVO;CD_UNIDADE_EDUCACAO;NOME_DISTRITO;CD_SETOR;TIPO_ESCOLA;NOME_ESCOLA;DRE;CD_INEP_ESCOLA;SITUACAO_ESCOLA;CD_TURMA;CD_TURNO;DESC_TURNO;CD_SERIE;DESC_SERIE;MODALIDADE;MODALIDADE_SEGMENTO;TURMA_ESCOL;NOME_TURMA;HORA_IN_TURMA;HORA_FIM_TURMA;DESC_PERIODICIDADE_TURMA;CD_ETAPA_ENSINO;DESC_ETAPA_ENSINO;CD_CICLO_ENSINO;CD_TIPO_TURMA;DESC_TIPO_TURMA;CD_TIPO_PROGRAMA;DUR_DIA_TURMA;DUR_SEMAN_TURMA;DUR_SEM_HORA;DUR_SEM_MIN;QTD_DIAS_SEMAN_TURMA;X_SEMANA;SEG;TER;QUA;QUI;SEX;SAB;DOM;CD_ALUNO_SME;ANO_NASC_ALUNO;MES_NASC_ALUNO;IDADE_ALUNO_ANO_CIVIL;IDADE_ALUNO_3103;CD_SEXO;CD_RACA_COR;DESC_RACA_COR;CD_PAIS_NASC;DESC_PAIS_NASC;CD_MUN_NASC;DESC_MUN_NASC;DESC_UF_NASC;NEE_ALT_HAB;DEF__AUTISMO;DEF__SURDEZ_LEVE;DEF__SURDEZ_SEV;DEF__INTELECT;DEF__MULTIPLA;DEF__CEGUEIRA;DEF__BAIXA_VISAO;DEF__SURDO_CEG;DEF__TRANST_DES_INF;DEF__SINDR_ASPER;DEF__SINDR_RETT;DEF__FIS_N_CADEIR;DEF__FIS_CADEIR;DEF__N_POSSUI;CD_MAT;DT_IN_MAT;DT_FIM_MAT;QTD_DIAS_MATR;ANO_IN_MAT;MES_IN_MAT;SITUACAO_MAT;ANO_SIT_MAT;MES_SIT_MAT;SIT_AL_APROV;SIT_AL_REPROV;SIT_AL_ABAND;SIT_AL_CONCL;SIT_AL_TRANSF;SIT_AL_FALEC;SIT_AL_NCOM;SIT_AL_EXCL;SIT_AL_CES;SIT_AL_REMAN;SIT_AL_RECLAS;SIT_AL_ATIVO
2019;308258;MARSILAC;5201;CR.P.CONV   ;VOVO MARIAZINHA ROCHA;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;35571416.0;ATIVA;2023654;6;INTEGRAL;267;MINI GRUPO I;CRECHE;CRECHE;S;3F;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191573;2016;10;3;2;F;3;PARDA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31250427;2019-02-04 00:00:00;2019-03-21 10:13:11;46;2019;2;Transferido;2019;3;0;0;0;0;1;0;0;0;0;0;0;0
2019;309152;SAO MATEUS;7301;CR.P.CONV   ;NOAH;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;35005592.0;ATIVA;2027168;6;INTEGRAL;267;MINI GRUPO I;CRECHE;CRECHE;S;3C;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191575;2016;8;3;2;F;6;NAO DECLARADA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30900420;2019-04-04 15:02:26;2019-12-20 00:00:00;261;2019;4;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;308028;SAO MIGUEL;7405;CR.P.CONV   ;IRENE RAMALHO;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;35563067.0;ATIVA;2030404;6;INTEGRAL;267;MINI GRUPO I;CRECHE;CRECHE;S;3C;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191588;2017;2;2;2;M;6;NAO DECLARADA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30868661;2019-02-04 00:00:00;2019-04-04 10:14:04;60;2019;2;Desistente;2019;4;0;0;1;0;0;0;0;0;0;0;0;0
2019;307062;ITAQUERA;3702;CR.P.CONV   ;UNIVERSO DA CRIANCA III;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;35432854.0;ATIVA;2028229;6;INTEGRAL;267;MINI GRUPO I;CRECHE;CRECHE;S;3C;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191589;2016;9;3;2;M;6;NAO DECLARADA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30377709;2019-02-04 00:00:00;2019-12-20 00:00:00;320;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;400107;PARELHEIROS;5507;CEI DIRET   ;JARDIM NOVO PARELHEIROS;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;35239410.0;ATIVA;1982723;6;INTEGRAL;268;MINI GRUPO II;CRECHE;CRECHE;S;4C;800;1800;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191580;2016;3;3;3;F;3;PARDA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31307351;2019-02-11 08:37:56;2019-12-19 10:29:56;312;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;306638;MARSILAC;5202;CR.P.CONV   ;SAO LUCAS;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;35102891.0;ATIVA;2020234;6;INTEGRAL;242;BERCARIO II;CRECHE;CRECHE;S;2A;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191582;2018;3;1;1;F;3;PARDA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31004171;2019-02-04 00:00:00;2019-12-20 00:00:00;320;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;309050;VILA PRUDENTE;9302;CR.P.CONV   ;JARDIM DA VOVO ANA;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;35005268.0;ATIVA;2034131;6;INTEGRAL;242;BERCARIO II;CRECHE;CRECHE;S;2B;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191584;2018;3;1;1;F;6;NAO DECLARADA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30751040;2019-02-04 00:00:00;2019-12-20 00:00:00;320;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;309211;SAO LUCAS;7203;CR.P.CONV   ;BETEL;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;35005730.0;ATIVA;2035434;6;INTEGRAL;267;MINI GRUPO I;CRECHE;CRECHE;S;3E;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191585;2017;3;2;2;M;1;BRANCA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30882941;2019-02-04 00:00:00;2019-12-20 00:00:00;320;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;400441;VILA CURUCA;8401;CEI INDIR   ;VILA NOVA CURUCA;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;35181845.0;ATIVA;2030799;6;INTEGRAL;242;BERCARIO II;CRECHE;CRECHE;S;2B;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191597;2017;8;2;1;F;1;BRANCA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31343216;2019-02-18 09:49:37;2019-12-20 00:00:00;306;2019;2;Concluido;2019;12;0;0;0;1;0;0;0;0;0;0;0;0
2019;306514;SAO LUCAS;7203;CR.P.CONV   ;JESUS MENINO,C. ED. COMUNITARIO;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;35181444.0;ATIVA;2026537;6;INTEGRAL;242;BERCARIO II;CRECHE;CRECHE;S;2A;700;1700;ANUAL INICIO NO 1º SEMESTRE;1.0;EDUCACAO INFANTIL;1.0;1.0;REGULAR;0.0;10.0;50;50.0;0.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7191598;2017;10;2;1;M;3;PARDA;10.0;BRASIL;3550308.0;SAO PAULO;SP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31262450;2019-02-04 09:48:46;2019-06-05 11:31:53;122;2019;2;Desistente;2019;6;0;0;1;0;0;0;0;0;0;0;0;0
